win_rate,total_pnl,total_profit,total_loss,profit_factor,trade_count,market_count,closed_count,address
1.0,9836.384362839017,9836.384362839017,0,999,200,130,12,0x478f311993178d13af1ffa5ad8db3cb5432df5d9
1.0,9728.6512031028,9728.6512031028,0,999,26,10,4,0xf05e409e4d008baee7349101e219b226351d95b0
1.0,3855.818714742239,3855.818714742239,0,999,200,43,7,0x4bbe10ba5b7f6df147c0dae17b46c44a6e562cf3
1.0,3000.0073657819767,3000.0073657819767,0,999,200,49,6,0x93fb8127a1b21a112b11af936361225df0563e4a
1.0,759.5096142262317,759.5096142262317,0,999,32,19,3,0x25012ec798e4861e38c645df919f86dc3c177e28
1.0,510.0,510.0,0,999,27,14,3,0x0726afe07cf6e650f43193f9f90d1f03fbef369c
1.0,383.8204177427669,383.8204177427669,0,999,24,14,6,0x15c99780e8cdae0be13334dd99199c763ca6a939
1.0,341.57322964445547,341.57322964445547,0,999,70,56,4,0x4f490a54aa5b5e9f4bd8bcf6b7103645fc0b231d
1.0,126.45406341297245,126.45406341297245,0,999,57,39,7,0x56317f9b062cb4e002d3dfe3d6b26e65cd61a679
1.0,118.81961589819805,118.81961589819811,0,999,31,12,3,0x2cc798c8eef1fae6266c5cda2bf2b607c5372385
1.0,90.32039994290517,90.32039994290517,0,999,21,11,4,0xd8e370ef8e7e12834c7b57a5349a210371959ed5
1.0,81.52023036100486,81.52023036100486,0,999,16,11,4,0xa8ffec291ad3b9fd6b377abbbebeced48c326476
1.0,32.0172,32.0172,0,999,200,3,3,0xa4bd8f49695cf5d55924aca4cc2694952874e8a2
1.0,2.2389507339679504,2.2389507339679504,0,999,14,11,3,0xecfd8e61afb28a75c32a039c9d4b3390186a75c6
1.0,0.14099999999999652,0.13199999999999795,0,999,20,12,4,0xfa2e8b3f94ed6565ce18f84cb640280082bc04eb
